date,layer,QFLAG2_min,QFLAG2_max,QFLAG2_mean,QFLAG2_median,QFLAG2_count,QFLAG2_std,QFLAG2_majority,LAI_min,LAI_max,LAI_mean,LAI_median,LAI_count,LAI_std,LAI_majority,PPI_min,PPI_max,PPI_mean,PPI_median,PPI_count,PPI_std,PPI_majority,FAPAR_min,FAPAR_max,FAPAR_mean,FAPAR_count,FAPAR_std,FAPAR_median,FAPAR_majority,NDVI_min,NDVI_max,NDVI_mean,NDVI_median,NDVI_count,NDVI_std,NDVI_majority
2017-02-12 10:41:41,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-02-15 10:51:21,LAM,1025.0,12289.0,7779.80701754386,12289.0,57,5189.092688290511,12289.0,0.0007999999797903,0.144799992442131,0.0498461539928729,0.0375999994575977,26,0.0403124826093894,0.0007999999797903,0.008899999782443,0.0151999993249773,0.0120499990880489,0.0120499990880489,2,0.0031499997712672,0.008899999782443,0.0001999999949475,0.1641999930143356,0.0345421046541448,57,0.0452174928757047,0.0082000000402331,0.0001999999949475,0.006000000052154,0.2023999989032745,0.0814877225641618,0.0612999983131885,57,0.051681799173959,0.0568000003695488
2017-02-18 11:01:11,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-02-22 10:40:31,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-02-25 10:50:21,LAM,1.0,1.0,1.0,1.0,2290,0.0,1.0,0.0007999999797903,0.4815999865531921,0.0303770098192938,0.007999999448657,1044,0.0647548432967741,0.0007999999797903,0.0019999998621642,0.1565999984741211,0.0577019177950345,0.0474499985575675,52,0.0373668576823743,0.0493000000715255,0.0093999998643994,0.3766999840736389,0.0569862465671056,2290,0.0392439022444218,0.0486999973654747,0.0381999984383583,0.0885999947786331,0.4517000019550323,0.1267265486404885,0.1165999993681907,2290,0.0427504178526537,0.116699993610382
2017-02-28 11:00:01,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-03-04 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-03-07 10:50:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-03-10 10:58:41,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-03-14 10:40:11,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-03-17 10:50:21,LAM,1.0,1.0,1.0,1.0,2361,0.0,1.0,0.0439999997615814,0.6111999750137329,0.0781153703533659,0.065600000321865,2361,0.0555572513211266,0.0583999976515769,0.0023000000510364,0.1735999882221222,0.0665206303672185,0.064300000667572,63,0.0419245533637328,0.0162000004202127,0.0001999999949475,0.3337999880313873,0.0273987714742412,2361,0.0418663040851125,0.0168999992311,0.0001999999949475,0.0822999998927116,0.4487999975681305,0.1177210470520303,0.1058999970555305,2361,0.0445172631975649,0.1010999977588653
2017-03-20 10:57:31,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-03-24 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-03-27 10:50:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-03-30 10:56:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-04-03 10:40:21,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
2017-04-06 10:50:21,LAM,1.0,1.0,1.0,1.0,2357,0.0,1.0,0.0015999999595806,1.0743999481201172,0.0571770844036712,0.0375999994575977,2357,0.0835453876910848,0.0223999992012977,0.0001999999949475,0.4285999834537506,0.1229062527418136,0.0914999991655349,128,0.1077108999941375,0.0033999998122453,0.011799999512732,0.5099999904632568,0.0677548563475319,2357,0.0520673227510034,0.0542999990284442,0.0491999983787536,0.0903999954462051,0.6071000099182129,0.1419651580150217,0.1262999922037124,2357,0.0563323041010353,0.1213999986648559
2017-04-09 10:56:51,LAM,,,,,0,,,,,,,0,,,,,,,0,,,,,,0,,,,,,,,0,,
