system:index,lwnet_mean,p_mean,rin_mean,rli_mean,swnet_mean,ta_mean,vpd_mean,ws_mean,.geo
2021-01-01_0,-68.58787037037038,975.6681217447916,58.818564814814806,238.08267361111118,51.854305555555555,-0.20506642659502936,0.7810372770107978,1.9391886913243737,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-02_0,-34.85340277777779,978.5697330729167,41.13837962962963,284.9153240740741,36.28243055555556,2.4360850016276268,0.589517793848405,1.8037765058839812,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-03_0,-18.21319444444444,976.8792594401043,29.09532407407407,311.855775462963,25.65868055555556,3.8102635701497625,0.43882158935815924,1.8316999235971123,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-04_0,-13.378912037037038,978.2821565755207,22.541064814814813,310.49857638888886,19.903587962962963,2.142332331339541,0.2519952870519308,1.5442458007678457,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-05_0,-28.447592592592596,976.8706754557293,40.37912037037037,299.9513310185185,35.67717592592593,2.831465657552106,0.7713120599464655,1.0256890143847734,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-06_0,-26.656296296296293,975.5331591796872,40.338101851851846,292.35528935185187,29.02877314814815,1.4600966135661035,0.7666042319662102,1.9334411903473674,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-07_0,-55.275625,980.0217692057291,62.60194444444445,246.243900462963,47.03912037037037,-0.5890195210774513,0.7310371757083481,1.3372601827184474,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-08_0,-44.02479166666666,981.4057975260416,43.922037037037036,258.6576967592593,32.952847222222225,-0.9170510609944434,0.5945105092866877,1.505181755439879,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-09_0,-59.93231481481481,986.2438590494793,67.23490740740739,237.2062847222223,51.183819444444445,-1.51251894632973,0.9588961916426464,1.3601808163572813,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-10_0,-40.51407407407408,988.5070589192711,39.616759259259254,261.11520833333327,30.12201388888889,-1.4180454254150163,0.7981935799921657,2.2167302242230593,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-11_0,-71.54543981481483,987.1045654296876,66.47472222222223,226.8519560185185,50.192870370370365,-2.0374123891194436,1.0641588679436367,2.590477460000879,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-12_0,-44.92870370370371,979.9940022786458,56.495092592592606,251.02255787037032,42.98203703703703,-2.121296310424782,1.6109904527067276,2.1950601172351742,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-13_0,-68.77513888888888,978.173211263021,70.9800462962963,233.87443287037038,53.26414351851852,-0.6813142140706153,1.6793825388518735,2.3863700634660416,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-14_0,-59.205115740740744,977.1945166015626,58.43222222222223,243.90645833333338,43.69210648148149,-0.6964884440103939,1.7285589394014071,3.8105937773588905,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-15_0,-65.9039814814815,984.4357796223958,58.109722222222224,234.07032407407408,43.24081018518519,-1.5765441894531023,1.386137475208128,3.1946580389284134,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-16_0,-52.220138888888904,986.4214973958333,65.66916666666667,248.48380787037044,47.540995370370375,-2.386907323201475,1.4867055277818035,3.1062290240108132,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-17_0,-44.134236111111115,984.0546272786456,59.77583333333334,248.52688657407404,37.83701388888888,-4.857152048746722,0.8298426319000333,1.8174568594137526,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-18_0,-35.00893518518519,988.1014534505206,37.16842592592592,245.16004629629631,23.061689814814812,-7.6514928181965915,0.6156430539450659,1.586668332934457,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-19_0,-34.065185185185186,984.897138671875,65.08328703703704,270.4479398148148,37.365324074074074,-0.9698509216308366,1.3004416841684787,2.495062424429063,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-20_0,-58.32479166666667,979.677312825521,75.73370370370371,261.58886574074074,47.585578703703696,2.5622344970703352,1.386724926048897,3.5776776946771247,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-21_0,-77.27289351851853,974.518369140625,75.35643518518519,257.15637731481485,59.02259259259259,6.3132892608642805,2.2468547790661018,6.20055649862849,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-22_0,-51.431527777777774,968.3899772135414,49.31583333333333,299.52745370370366,43.06030092592592,9.108838653564476,2.2405433576074114,6.112189699989596,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-23_0,-25.08905092592593,963.4777376302085,22.426898148148144,317.9184722222222,19.726481481481482,6.181397374471051,1.0653427946230078,3.218128498153341,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-24_0,-44.802962962962965,964.7954622395836,67.5252314814815,280.56341435185186,57.31722222222223,2.584837214152041,2.0619451651135803,1.7906115796772217,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-25_0,-70.89815972222222,968.9674332682292,82.20611111111111,242.58597222222218,69.95405092592593,0.9125858306884993,2.3267952654928865,2.015097750979701,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-26_0,-57.96806712962962,978.7267236328129,67.5986574074074,252.24869212962963,57.59585648148147,0.3917900085449446,1.9038634081110564,2.9171901893492964,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-27_0,-76.85266203703704,981.5204069010416,75.23870370370369,227.94498842592589,62.491365740740754,-0.3753017425536882,1.5348368432885868,2.693900362399505,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-28_0,-30.996458333333326,974.4665787760417,67.5274537037037,285.3691666666667,55.47189814814814,1.2691417694092024,1.738355948816382,2.426509157848433,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-29_0,-24.081412037037037,966.7415999348958,26.037175925925922,298.23405092592594,21.33118055555556,2.5029432932536033,0.6470620970999252,1.9766038985714822,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-30_0,-47.28310185185185,966.4466048177084,72.29509259259261,275.90057870370373,60.34032407407409,3.3705866495768455,1.760299979118388,2.6215538487030696,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-01-31_0,-33.79412037037037,970.2776416015626,59.40837962962964,279.2547916666667,48.23740740740741,-0.2607152303059668,1.4397790572629987,2.4346645590179876,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-01_0,-69.22328703703705,968.2100081380208,95.52921296296296,233.93776620370375,78.22886574074076,-0.5439463297525814,1.441618554725587,1.8981652612624478,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-02_0,-47.605833333333344,975.2001188151045,83.16097222222223,269.3641203703705,68.95111111111112,1.5370148976644107,1.179405452044843,2.3551501115018993,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-03_0,-38.55256944444445,974.3380013020833,50.22777777777778,292.60754629629633,42.546782407407406,4.652453358968121,1.3033312727380681,3.114134485085159,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-04_0,-66.05067129629627,980.289591471354,97.51069444444444,271.96842592592594,84.33201388888891,7.144851303100609,3.1324132849084108,1.965352936101568,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-05_0,-43.97694444444445,981.5670654296877,82.6675,293.1038773148148,71.78532407407408,5.496006266276065,1.7751712714194152,0.9985439584286363,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-06_0,-15.832777777777777,977.6003190104169,32.57523148148149,314.80715277777784,28.326180555555556,3.4241176605224837,0.2072394379806549,1.2579122761292572,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-07_0,-21.23328703703704,966.3804296874999,48.77916666666667,327.77506944444445,42.47763888888889,7.655397033691429,0.6811753012890779,2.4036544639721997,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-08_0,-16.876967592592592,962.2401806640624,33.70773148148149,316.31821759259265,29.33247685185185,3.2861654917399314,0.6215260305902951,1.9862090166425697,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-09_0,-14.532662037037042,968.3368001302083,22.585694444444446,307.47490740740744,19.268240740740744,1.2224905649821192,0.23475480799346551,1.6477294488551797,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-10_0,-14.856342592592595,969.6731412760417,27.886805555555554,304.92178240740736,22.76923611111111,0.6305391947428612,0.40692675671892947,2.441873045933847,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-11_0,-69.3285185185185,984.3697574869792,102.53291666666667,223.5410185185185,80.52347222222222,-4.843339665730771,1.825369600858406,6.3855524085046165,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-12_0,-91.26162037037035,995.493546549479,108.14856481481483,195.75564814814814,85.59219907407407,-5.660503133137998,1.9595573620312232,3.561112770511085,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-13_0,-82.63555555555554,999.8627083333334,118.26726851851852,206.7963888888889,93.87282407407407,-5.019993845621722,1.7880852187608138,4.053163964552783,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-14_0,-93.5263425925926,1003.0790592447917,124.43657407407407,205.39884259259256,99.33597222222221,-2.9584456125894953,2.1997869980070424,4.164886023414231,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-15_0,-89.78303240740742,1000.7730013020836,131.03624999999997,207.5151736111111,105.45233796296297,-2.662081782023089,2.535436526535981,1.4474837148098991,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-16_0,-14.481412037037034,990.2545572916666,50.315462962962975,300.110613425926,38.75178240740741,0.2555728912353743,2.4207221536692676,1.9797285782311718,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-17_0,-49.902731481481474,984.6579622395833,102.53342592592594,274.10662037037036,81.45752314814816,3.026586786905947,1.7984046682362325,1.7663397580679379,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-18_0,-57.32594907407407,987.3631201171871,111.2,269.55385416666667,91.55685185185185,3.909425354003929,1.8547869243209627,1.6847133005657124,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-19_0,-46.48736111111111,987.0685530598959,109.17763888888892,282.98292824074076,91.88067129629631,4.757169977823916,1.4663332258204917,1.0886872957018296,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-20_0,-35.19261574074074,991.06390625,97.74847222222222,301.25179398148146,83.31611111111111,5.3514979044596585,1.1309837965444134,1.8115012813033013,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-21_0,-32.27319444444445,991.0276399739581,67.08004629629632,311.29689814814816,57.75060185185185,6.309980646769229,1.2446235466194462,3.161352698485891,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-22_0,-75.80766203703703,991.5564599609373,130.39671296296297,267.9110185185185,112.66928240740741,6.7182982126871975,1.8636644822730588,1.8571979342169274,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-23_0,-70.33939814814815,999.9771337890625,133.3717361111111,271.7304166666667,115.27601851851853,6.374143218994163,2.374828723314286,1.6965152467602183,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-24_0,-74.48445601851851,1001.4675276692709,140.6984722222222,277.60840277777777,121.56879629629628,9.212220128377302,3.8078432000343176,1.9536744060866074,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-25_0,-80.45032407407406,997.2806673177083,144.26057870370371,275.17689814814815,124.60136574074073,9.946861521403017,4.255587150870976,2.648127985869822,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-26_0,-78.73287037037038,993.1025211588541,148.4003009259259,274.7641666666667,128.12187500000002,9.30800590515139,3.593268524132371,1.4876636011703843,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-27_0,-59.48487268518519,998.0305126953123,117.38303240740743,283.03509259259255,101.32847222222222,6.018787638346377,2.9521041220436586,5.4775693479743275,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-02-28_0,-80.2820138888889,1000.550439453125,141.95777777777775,252.30138888888885,122.44604166666669,3.7957804361979393,2.446947933415417,2.399340232464273,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-01_0,-72.91592592592593,999.2336572265626,143.28780092592592,255.6611226851852,123.53763888888888,3.7549046834310125,1.8749324588737244,2.5567896871073845,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-02_0,-85.28567129629631,1000.2314355468749,159.77430555555557,246.99917824074075,137.67997685185185,4.4916645050049055,2.610749300326067,2.184000945809024,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-03_0,-89.73974537037037,995.3965771484374,165.1226220590097,244.55283564814815,142.21962231600727,4.6081208546956605,2.9408756012354154,1.651011497377625,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-04_0,-67.67780092592591,984.810753580729,145.63411969220195,274.89828703703705,125.3696484685827,6.547798411051455,3.4692074768698205,1.3488421190689825,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-05_0,-56.59062500000001,984.5136165364584,105.36368155020254,276.47009259259255,90.65821854202837,4.049122746785504,2.1243005129892265,3.611371890034739,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-06_0,-99.57719907407409,997.1706722005206,170.77586082175932,216.34045138888885,146.87176088686346,0.4420041402181217,2.8578863769307463,2.1238734823774954,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-07_0,-92.49696759259258,989.1821793619793,176.71155598958333,222.36118055555562,151.90403564453126,0.6948670705159733,3.0360766865327835,2.60594284694765,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-08_0,-67.09127314814815,984.9067757161456,145.36586805555555,254.06562500000004,124.88221932870373,1.9825569152832259,2.3636658193668327,2.6399675396601423,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-09_0,-56.74804398148148,985.577589518229,129.51096932870368,264.17456018518516,111.12561428493923,1.3970650990804263,2.43407076994598,1.5374024046105266,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-10_0,-59.55043981481481,985.6555403645834,127.3865690104167,263.4546874999999,109.15231743706596,2.021279271443708,2.6296509690053873,1.5028812144478996,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-11_0,-43.676562499999996,980.7833886718751,79.90565610532408,276.7759722222222,68.44593677662037,2.4763586680094627,2.1987173373491244,3.653876147911356,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-12_0,-59.38253472222223,978.0378011067706,150.06821035879628,288.0570717592593,128.6207964409722,6.838756815592471,3.139005620574745,1.9316532161441158,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
2021-03-13_0,-68.86694444444446,976.6538476562497,153.65628038194447,275.47851851851857,131.66784939236115,7.278384780883812,3.30919160082461,4.153499589745773,"{""type"":""Point"",""coordinates"":[16.56616002413052,47.38003722901927]}"
